Team,Opponent,Goals Made,Goals Conceded,Delta Goals,Wins,Losses,Result
Russia,Saudi Arabia,5,0,5,1,0,Group
Egypt,Uruguay,0,1,-1,0,1,Group
Russia,Egypt,3,1,2,1,0,Group
Uruguay,Saudi Arabia,1,0,1,1,0,Group
Uruguay,Russia,3,0,3,1,0,Group
Saudi Arabia,Egypt,2,1,1,1,0,Group
Morocco,IR Iran,0,1,-1,0,1,Group
Portugal,Spain,3,3,0,0,0,Group
Portugal,Morocco,1,0,1,1,0,Group
IR Iran,Spain,0,1,-1,0,1,Group
Spain,Morocco,2,2,0,0,0,Group
IR Iran,Portugal,1,1,0,0,0,Group
France,Australia,2,1,1,1,0,Group
Peru,Denmark,0,1,-1,0,1,Group
Denmark,Australia,1,1,0,0,0,Group
France,Peru,1,0,1,1,0,Group
Australia,Peru,0,2,-2,0,1,Group
Denmark,France,0,0,0,0,0,Group
Argentina,Iceland,1,1,0,0,0,Group
Croatia,Nigeria,2,0,2,1,0,Group
Argentina,Croatia,0,3,-3,0,1,Group
Nigeria,Iceland,2,0,2,1,0,Group
Nigeria,Argentina,1,2,-1,0,1,Group
Iceland,Croatia,1,2,-1,0,1,Group
Costa Rica,Serbia,0,1,-1,0,1,Group
Brazil,Switzerland,1,1,0,0,0,Group
Brazil,Costa Rica,2,0,2,1,0,Group
Serbia,Brazil,0,2,-2,0,1,Group
Switzerland,Costa Rica,2,2,0,0,0,Group
Germany,Mexico,0,1,-1,0,1,Group
Sweden,Korea Republic,1,0,1,1,0,Group
Korea Republic,Mexico,1,2,-1,0,1,Group
Germany,Sweden,2,1,1,1,0,Group
Korea Republic,Germany,2,0,2,1,0,Group
Mexico,Sweden,0,3,-3,0,1,Group
Belgium,Panama,3,0,3,1,0,Group
Tunisia,England,1,2,-1,0,1,Group
Belgium,Tunisia,5,2,3,1,0,Group
England,Panama,6,1,5,1,0,Group
Panama,Tunisia,1,2,-1,0,1,Group
England,Belgium,0,1,-1,0,1,Group
Colombia,Japan,1,2,-1,0,1,Group
Poland,Senegal,1,2,-1,0,1,Group
Japan,Senegal,2,2,0,0,0,Group
Poland,Colombia,0,3,-3,0,1,Group
Japan,Poland,0,1,-1,0,1,Group
Senegal,Colombia,0,1,-1,0,1,Group
Saudi Arabia,Russia,0,5,-5,0,1,Group
Uruguay,Egypt,1,0,1,1,0,Group
Egypt,Russia,1,3,-2,0,1,Group
Saudi Arabia,Uruguay,0,1,-1,0,1,Group
Russia,Uruguay,0,3,-3,0,1,Group
Egypt,Saudi Arabia,1,2,-1,0,1,Group
IR Iran,Morocco,1,0,1,1,0,Group
Spain,Portugal,3,3,0,0,0,Group
Morocco,Portugal,0,1,-1,0,1,Group
Spain,IR Iran,1,0,1,1,0,Group
Morocco,Spain,2,2,0,0,0,Group
Portugal,IR Iran,1,1,0,0,0,Group
Australia,France,1,2,-1,0,1,Group
Denmark,Peru,1,0,1,1,0,Group
Australia,Denmark,1,1,0,0,0,Group
Peru,France,0,1,-1,0,1,Group
Peru,Australia,2,0,2,1,0,Group
France,Denmark,0,0,0,0,0,Group
Iceland,Argentina,1,1,0,0,0,Group
Nigeria,Croatia,0,2,-2,0,1,Group
Croatia,Argentina,3,0,3,1,0,Group
Iceland,Nigeria,0,2,-2,0,1,Group
Argentina,Nigeria,2,1,1,1,0,Group
Croatia,Iceland,2,1,1,1,0,Group
Serbia,Costa Rica,1,0,1,1,0,Group
Switzerland,Brazil,1,1,0,0,0,Group
Costa Rica,Brazil,0,2,-2,0,1,Group
Brazil,Serbia,2,0,2,1,0,Group
Costa Rica,Switzerland,2,2,0,0,0,Group
Mexico,Germany,1,0,1,1,0,Group
Korea Republic,Sweden,0,1,-1,0,1,Group
Mexico,Korea Republic,2,1,1,1,0,Group
Sweden,Germany,1,2,-1,0,1,Group
Germany,Korea Republic,0,2,-2,0,1,Group
Sweden,Mexico,3,0,3,1,0,Group
Panama,Belgium,0,3,-3,0,1,Group
England,Tunisia,2,1,1,1,0,Group
Tunisia,Belgium,2,5,-3,0,1,Group
Panama,England,1,6,-5,0,1,Group
Tunisia,Panama,2,1,1,1,0,Group
Belgium,England,1,0,1,1,0,Group
Japan,Colombia,2,1,1,1,0,Group
Senegal,Poland,2,1,1,1,0,Group
Senegal,Japan,2,2,0,0,0,Group
Colombia,Poland,3,0,3,1,0,Group
Poland,Japan,1,0,1,1,0,Group
Colombia,Senegal,1,0,1,1,0,Group
France,Argentina,4,3,1,1,0,Round of Sixteen
Uruguay,Portugal,2,1,1,1,0,Round of Sixteen
Spain,Russia,1,1,0,0,1,Round of Sixteen
Croatia,Denmark,1,1,0,1,0,Round of Sixteen
Brazil,Mexico,2,0,2,1,0,Round of Sixteen
Belgium,Japan,3,2,1,1,0,Round of Sixteen
Sweden,Switzerland,1,0,1,1,0,Round of Sixteen
Colombia,England,1,1,0,0,1,Round of Sixteen
Argentina,France,3,4,-1,0,1,Round of Sixteen
Portugal,Uruguay,1,2,-1,0,1,Round of Sixteen
Russia,Spain,1,1,0,1,0,Round of Sixteen
Denmark,Croatia,1,1,0,0,1,Round of Sixteen
Mexico,Brazil,0,2,-2,0,1,Round of Sixteen
Japan,Belgium,2,3,-1,0,1,Round of Sixteen
Switzerland,Sweden,0,1,-1,0,1,Round of Sixteen
England,Colombia,1,1,0,1,0,Round of Sixteen
Uruguay,France,0,2,-2,0,1,Quarter Finals
Brazil,Belgium,1,2,-1,0,1,Quarter Finals
Sweden,England,0,2,-2,0,1,Quarter Finals
Russia,Croatia,2,2,0,0,1,Quarter Finals
France,Belgium,1,0,1,1,0,Semi Finals
Croatia,England,2,1,1,1,0,Semi Finals
Belgium,England,2,0,2,1,0,Third Place
France,Croatia,4,2,2,1,0,Winner
France,Uruguay,2,0,2,1,0,Quarter Finals
Belgium,Brazil,2,1,1,1,0,Quarter Finals
England,Sweden,2,0,2,1,0,Quarter Finals
Croatia,Russia,2,2,0,1,0,Quarter Finals
Belgium,France,0,1,-1,0,1,Semi Finals
England,Croatia,1,2,-1,0,1,Semi Finals
England,Belgium,0,2,-2,0,1,Fourth Place
Croatia,France,2,4,-2,0,1,Runner-Up
Serbia,Switzerland,1,2,-1,0,1,Group
Switzerland,Serbia,2,1,1,1,0,Group